Designator,Mid X,Mid Y,Rotation,Layer
R43_R1,247.233111,-169.091026,345.0,bottom
R44_R1,226.408439,-178.727468,331.0,bottom
R7,95.48,-125.4775,0.0,bottom
R706,77.305,-153.5275,90.0,bottom
R707,79.03,-153.5025,90.0,bottom
R708_R1,347.98,-153.2525,90.0,bottom
R709_R1,346.33,-153.2525,90.0,bottom
R710,84.355,-153.4775,90.0,bottom
R711,82.43,-153.4775,90.0,bottom
R712,189.155,-113.3775,180.0,bottom
R713_R1,351.555,-153.1025,270.0,bottom
R714_R1,353.205,-153.1025,270.0,bottom
R715_R1,242.555,-112.6275,0.0,bottom
R8,95.43,-106.7775,0.0,bottom
R9,114.455,-140.1275,0.0,bottom
RSW1,142.83,-170.9025,90.0,bottom
RSW2_R1,287.18,-169.8525,270.0,bottom
SW1,80.987241,-140.4825,0.0,bottom
SW10,138.137241,-121.4325,0.0,bottom
SW11,138.137241,-102.3825,0.0,bottom
SW12,157.187241,-145.245,0.0,bottom
SW13,157.187241,-126.195,0.0,bottom
SW14,157.187241,-107.145,0.0,bottom
SW15,176.237241,-150.0075,0.0,bottom
SW16,176.237241,-130.9575,0.0,bottom
SW17,176.237241,-111.9075,0.0,bottom
SW18,155.282241,-170.01,0.0,bottom
SW19,176.832241,-172.71,15.0,bottom
SW2,80.987241,-121.4325,0.0,bottom
SW20,197.000895,-180.702365,29.0,bottom
SW21,349.087241,-140.4825,0.0,bottom
SW22,349.087241,-121.4325,0.0,bottom
SW23,330.037241,-150.0075,0.0,bottom
SW24,330.037241,-130.9575,0.0,bottom
SW25,330.037241,-111.9075,0.0,bottom
SW26,310.987241,-145.245,0.0,bottom
SW27,310.987241,-126.195,0.0,bottom
SW28,310.987241,-107.145,0.0,bottom
SW29,291.937241,-140.4825,0.0,bottom
SW3,100.037241,-150.0075,0.0,bottom
SW30,291.937241,-121.4325,0.0,bottom
SW31,291.937241,-102.3825,0.0,bottom
SW32,272.887241,-145.245,0.0,bottom
SW33,272.887241,-126.195,0.0,bottom
SW34,272.887241,-107.145,0.0,bottom
SW35,253.837241,-150.0075,0.0,bottom
SW36,253.837241,-130.9575,0.0,bottom
SW37,253.837241,-111.9075,0.0,bottom
SW38,274.792241,-170.01,0.0,bottom
SW39,253.242241,-172.71,345.0,bottom
SW4,100.037241,-130.9575,0.0,bottom
SW40,233.073587,-180.702365,331.0,bottom
SW5,100.037241,-111.9075,0.0,bottom
SW6,119.087241,-145.245,0.0,bottom
SW7,119.087241,-126.195,0.0,bottom
SW8,119.087241,-107.145,0.0,bottom
SW9,138.137241,-140.4825,0.0,bottom
U1,228.3375,-112.2498,0.0,bottom
U3,201.5925,-112.2498,0.0,bottom
